Id,Project,SATD comment,On-hold or not
4771,jruby-1.4.0,// Object#to_a is obsolete. We match Ruby's hack until to_a goes away. Then we can // remove this hack too.,no
4772,jruby-1.4.0,"// TODO: callback for value would be more efficient, but unlikely to be a big cost (constants are rarely assigned)",no
4773,jruby-1.4.0,// FIXME: this should go somewhere more generic -- maybe IdUtil,no
4774,jruby-1.4.0,// SSS FIXME: Move this code to some utils area .. or probably there is already a method for this in some jruby utils class // Holy cow! Just to append two darned arrays!,no
4775,jruby-1.4.0,// TODO: set our metaclass to target's class (i.e. scary!),no
4776,jruby-1.4.0,"// add 'new' with full signature, so it's guaranteed to be directly accessible // TODO: no need for this to be a full, formal JVM signature",no
4777,jruby-1.4.0,"// context is null, wipe out the SoftReference (this could be done with a reference queue)",no
4778,jruby-1.4.0,// TODO: remove,no
4779,jruby-1.4.0,"// FIXME: Big fat hack here, because scope names are expected to be interned strings by the parser",no
4780,jruby-1.4.0,"// TODO: This is actually now returning the scope of whoever called Method#to_proc // which is obviously wrong; but there's no scope to provide for many methods. // It fixes JRUBY-2237, but needs a better solution.",yes
4781,jruby-1.4.0,/** * * @author headius * FIXME convert to enum ? */,no
4782,jruby-1.4.0,"// The following three methods must be defined fast, since they expect to modify the current frame // (i.e. they expect no frame will be allocated for them). JRUBY-1185.",yes
4783,jruby-1.4.0,"// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415",yes
4784,jruby-1.4.0,// SSS FIXME: Can this return anything other than nil?,no
4785,jruby-1.4.0,// XXX: const lookup can trigger const_missing; is that enough to warrant it always being executed?,no
4786,jruby-1.4.0,// TODO: Should frozen error have its own distinct class? If not should more share?,no
4787,jruby-1.4.0,// TODO: Only used by interface implementation; eliminate it,no
4788,jruby-1.4.0,// FIXME: null check is removable once we figure out how to assign to unset named block args,no
4789,jruby-1.4.0,"// For JRUBY-2759, when MET choose CET timezone to work around Joda",yes
4790,jruby-1.4.0,// FIXME: This is gross. Don't do this.,no
4791,jruby-1.4.0,// FIXME: I think we need these pushed somewhere?,no
4792,jruby-1.4.0,"// SSS FIXME: Deprecated! Going forward, all instructions should come from the CFG",no
4793,jruby-1.4.0,"// TODO: should probably apply the null object pattern for a // non-allowed class, rather than null",no
4794,jruby-1.4.0,// Yow...this is still ugly,no
4795,jruby-1.4.0,"// add method with full signature, so it's guaranteed to be directly accessible // TODO: no need for this to be a full, formal JVM signature",no
4796,jruby-1.4.0,"/** * FIXME: This version is faster than the previous, but both suffer from a * crucial flaw: It is impossible to create an ObjectSpace with an iterator * that doesn't either: a. hold on to objects that might otherwise be collected * or b. have no way to guarantee that a call to hasNext() will be correct or * that a subsequent call to next() will produce an object. For our purposes, * for now, this may be acceptable. */",no
4797,jruby-1.4.0,// FIXME: Clearing read buffer here...is this appropriate?,no
4798,jruby-1.4.0,"// TODO: specifying soft refs, may want to compare memory consumption, // behavior with weak refs (specify WEAK in place of SOFT below)",no
4799,jruby-1.4.0,/* FIXME: lose syntactical elements here (and others like this)*/,no
4800,jruby-1.4.0,// ENEBO: Totally weird naming (in MRI is not allocated and is a local var name),no
4801,jruby-1.4.0,// FIXME: This doesn't actually support anything but String,no
4802,jruby-1.4.0,"// up to ten, stuff into tmp locals, load in reverse order, and assign // FIXME: There's probably a slightly smarter way, but is it important?",no
4803,jruby-1.4.0,// XXX: do something?,no
4804,jruby-1.4.0,"// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes) // TODO: not sure we need this at all, since we only expose // public fields. //field.setAccessible(true);",no
4805,jruby-1.4.0,// FIXME we want to eliminate these type casts when possible,no
4806,jruby-1.4.0,// HACK: force clinit to be created,no
4807,jruby-1.4.0,// FIXME: If true array is common enough we should pre-allocate and stick somewhere,no
4808,jruby-1.4.0,"// optional args, so we have IRubyObject[] // TODO: confirm",no
4809,jruby-1.4.0,// TODO: This is almost RubyModule#instance_methods on the metaClass. Perhaps refactor.,no
4810,jruby-1.4.0,// FIXME: Added this because marshal_spec seemed to reconstitute objects without calling dataWrapStruct // this resulted in object being null after unmarshalling...,no
4811,jruby-1.4.0,// TODO: factor this chunk as in MRI/YARV GETASTER,no
4812,jruby-1.4.0,// exit monitor before making call // FIXME: this not being in a finally is a little worrisome,no
4813,jruby-1.4.0,// self = args[0] // SSS FIXME: Verify that this is correct,no
4814,jruby-1.4.0,"// This is for JRUBY-2988, since after a suspend the terminal seems // to need to be reinitialized. Since we can't easily detect suspension, // initialize after every readline. Probably not fast, but this is for // interactive terminals anyway...so who cares?",yes
4815,jruby-1.4.0,// TODO: do above but not below for additional newline nodes,no
4816,jruby-1.4.0,"// SSS FIXME: Receiver -- this is the class meta object basically? // Operand receiver = build(defsNode.getReceiverNode(), s);",no
4817,jruby-1.4.0,"// FIXME This whole thing could probably be implemented as a module and // mixed into appropriate classes, especially if it uses either // IOInput/OutputStream or is smart about the kind of IO-like object // it's being used against.",no
4818,jruby-1.4.0,"// FIXME: bit of a kludge here (non-interface classes assigned to both // class and module fields). simplifies proxy extender code, will go away // when JI is overhauled (and proxy extenders are deprecated).",no
4819,jruby-1.4.0,// FIXME: what should these really be? Numeric? assert x instanceof RubyComplex && y instanceof RubyComplex;,no
4820,jruby-1.4.0,"// we're depending on the side effect of the load, which loads the class but does not turn it into a script // I don't like it, but until we restructure the code a bit more, we'll need to quietly let it by here.",no
4821,jruby-1.4.0,"// FIXME: we should also support orgs that use capitalized package // names (including, embarrassingly, the one I work for), but this // should be enabled by a system property, as the expected default // behavior for an upper-case value should be (and is) to treat it // as a class name, and raise an exception if it's not found",no
4822,jruby-1.4.0,// TODO: This version differs from ioctl by checking whether fcntl exists // and raising notimplemented if it doesn't; perhaps no difference for us?,no
4823,jruby-1.4.0,// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.,no
4824,jruby-1.4.0,// TODO: eliminate?,no
4825,jruby-1.4.0,// TODO: handle writing into original buffer better,no
4826,jruby-1.4.0,"// This is a fairly specific hack for empty string, but it does the job",no
4827,jruby-1.4.0,// XXX This constructor is a hack to implement the __END__ syntax. // Converting a reader back into an InputStream doesn't generally work.,no
4828,jruby-1.4.0,// method has more than 500 lines; we'll need to split it // and therefore need to use a heap-based scope,no
4829,jruby-1.4.0,"// The implementations of these are all bonus (see TODO above) I was going // to throw an error from these, but it appears to be the wrong place to // do it.",no
4830,jruby-1.4.0,"// entry exists, proxy doesn't match. replace. // this could happen if old proxy was gc'ed // TODO: raise exception if stored proxy is non-null? (not gc'ed)",no
4831,jruby-1.4.0,// TODO: better algorithm to set precision needed,no
4832,jruby-1.4.0,"/** * SSS FIXME: Used anywhere? I don't see calls to this anywhere public Operand buildDAsgnAssignment(Node node, IR_Scope s) { DAsgnNode dasgnNode = (DAsgnNode) node; s.getVariableCompiler().assignLocalVariable(dasgnNode.getIndex(), dasgnNode.getDepth()); } **/",no
4833,jruby-1.4.0,// TODO: Make this more intelligible value,no
4834,jruby-1.4.0,// TODO: Split this into two sub-classes so that name and constNode can be specified seperately.,no
4835,jruby-1.4.0,"// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.",no
4836,jruby-1.4.0,"// FIXME: This is copied code from RubyArray. Both RE, Struct, and Array should share one impl // This is also hacky since I construct ruby objects to access ruby arrays through aref instead // of something lower.",no
4837,jruby-1.4.0,"// FIXME: No, I don't like it.",no
4838,jruby-1.4.0,"// arguments compilers always create IRubyObject[], but we want to use RubyArray.concat here; // FIXME: as a result, this is NOT efficient, since it creates and then later unwraps an array",no
4839,jruby-1.4.0,// SSS FIXME: What is the difference between ClassVarAsgnNode & ClassVarDeclNode,no
4840,jruby-1.4.0,// FIXME: set up a CallConfiguration for this,no
4841,jruby-1.4.0,// TODO: reads/writes from frame // TODO: information on scoping // TODO: visibility?,no
4842,jruby-1.4.0,// FIXME: This is almost entirely duplicated from Main.java,no
4843,jruby-1.4.0,// we might need to perform a DST correction,no
4844,jruby-1.4.0,// FIXME: How much more obtuse can this be? // Heredoc already parsed this and saved string...Do not parse..just return,no
4845,jruby-1.4.0,"// this needs to be split, since conditional calling #inherited doesn't fit standard ruby semantics",no
4846,jruby-1.4.0,"// XXX: Again, screwy evaling under previous frame's scope",no
4847,jruby-1.4.0,"// SSS FIXME: Maybe this is not really a concern after all ... // Nesting level of this scope in the lexical nesting of scopes in the current file -- this is not to be confused // with semantic nesting of scopes across files. // // Consider this code in a file f // class M1::M2::M3::C // ... // end // // So, C is at lexical nesting level of 1 (the file script is at 0) in the file 'f' // Semantically it is at level 3 (M1, M2, M3 are at 0,1,2). // // This is primarily used to ensure that variable names don't clash! // i.e. definition of %v_1 in a closure shouldn't override the use of %v_1 from the parent scope! // private int _lexicalNestingLevel;",no
4848,jruby-1.4.0,"// actual type does not exactly match method return type, re-get converter // FIXME: when the only autoconversions are primitives, this won't be needed",no
4849,jruby-1.4.0,// FIXME we should probably still be dyncalling 'write' here,no
4850,jruby-1.4.0,/* FIXME: finalizer should be dupped here */,no
4851,jruby-1.4.0,"// don't bother to check if final method, it won't // be there (not generated, can't be!)",no
